# Results of applying herd to all litmus tests with "exists" conditions.
# 
# herd: 7.56+03, Rev: exported
# herd -model aarch64.cat TEST.litmus 
#
# Tests where "Always" or "Sometimes" with "exists" was observed are marked "Allow".
# Tests where "Never" with "exists" was observed are marked "Forbid".
# Tests where "Always" with "forall" was observed are marked "Allow".
# Tests where "Sometimes" or "Never" with "forall" was observed are marked "Forbid".
# 
# The tests where executed using runall-HERD7.py.
# Date: 230624-04:41

W+RR+WR+WW+poaa+pola+poll+L Forbid
W+RR+WW+WW+poaa+poll+poll+L Forbid
W+RW+RW+RW+poals+L Forbid
WWC+poals Forbid
W+RW+RW+WR+poal+poal+pola+L Forbid
W+RW+RW+WW+poal+poal+poll+L Forbid
W+RW+WW+RW+poal+poll+poal+L Forbid
WRW+WR+poal+pola Forbid
IRWIW+poals Forbid
IRWIW+poals+NaL Forbid
WRW+2W+poal+poll Forbid
W+RW+WR+WR+poal+pola+pola+L Forbid
W+RW+WW+WR+poal+poll+pola+L Forbid
IRWIW+poals+LL Forbid
W+RW+WR+WW+poal+pola+poll+L Forbid
W+RW+WW+WW+poal+poll+poll+L Forbid
ISA2+rfila-poap+addr+addr Forbid
ISA2+wsilp-rfipa-poap+addr+addr Forbid
LB+data-[rf-popl-rf]lp-addrs Forbid
LB+data-[ws-popl-rf]lp-addrs Forbid
LB+ctrl+data-rfi-fri-rfi-ctrl Allow
LB+data+data-rfi-fri-rfi-addr Allow
WW+RR+WW+RR+wsilp+poaa+wsilp+poaa Forbid
W+RWC+wsilp+poaa+pola Forbid
Z6.3+poll+wsilp+poaa Forbid
LB+data+data-rfi-fri Forbid
LB+data+data-wsi-rfi-fri Forbid
LB+data+data-rfi-fri-wsi Forbid
3.LB+fri+data+data Forbid
3.LB+fri+data+data+REAL Forbid
SubProp Forbid
C11-A Forbid
C11-C Forbid
C11-C2 Forbid
C11-C3 Forbid
C11-D Forbid
ISA2+rfila-poap+addr+addr Forbid
ISA2+rfipa-poap+addr+addr Allow
ISA2+wsilp-rfipa-poap+addr+addr Forbid
MP+poslp-rfipa-poap+addr Forbid
