Testcase           execs-genmc  time-genmc      execs-hmc  time-hmc      execs-genmc-deps time-genmc-deps
2+2W                        1       .04                1       .04                1       .04
ori                         5       .04	               5       .04	          5       .04
par_length/4                3       .04	               3       .04	          3       .04
par_length/5                3       .04	               3       .04	          3       .04
par_length/6                3       .04	               3       .04	          3       .04
peterson                   13       .04	              13       .04	         13       .04
peterson-sc                 4       .04	               4       .04	          4       .04
pgsql                       2       .04	               2       .04	          2       .04
publish                    42       .04	              42       .05	         42       .04
qspinlock/2                 6       .06	               6       .06	          6       .06
readers/2                   4       .04	               4       .04	          4       .04
readers/8                 256       .06	             256       .07	        256       .07
readers/13               8192       .80	            8192      1.30	       8192      1.37
rii                         3       .04	               3       .04	          3       .04
riwi                        3       .04	               4       .04	          3       .04
RMWFix                      4       .04	               4       .04	          4       .04
rw/2                        3       .04	               3       .04	          3       .03
rw/3                       16       .04	              16       .04	         16       .04
rw/4                      125       .04	             125       .04	        125       .04
RWC+syncs                   7       .04	               7       .04	          7       .04
S                           2       .04	               2       .04	          2       .04
SB                          4       .04	               4       .04	          4       .04
SB+2sc+scf                  3       .04	               3       .04	          3       .04
SB+3sc+acq                  4       .04	               4       .04	          4       .04
SB+3sc+rel                  4       .04	               4       .04	          4       .04
SB+4sc                      3       .04	               3       .04	          3       .04
SB+assert                   3       .04	               3       .04	          3       .04
SB+rfis                     4       .04	               4       .04	          4       .04
SB+scfs                     3       .04	               3       .04	          3       .04
seqlock/                    2       .05	               2       .06	          2       .05
seqlock-atomic/             6       .05	               6       .06	          6       .05
SharedPtr/100             407       .14	             407       .64	        407       .65
small0                      6       .04	               6       .04	          6       .04
small1                      8       .04	               8       .04	          8       .04
S+rel+acq                   2       .04	               2       .04	          2       .04
S+rel+acqf                  2       .04	               2       .04	          2       .04
S+relf+acq                  2       .04	               2       .04	          2       .04
S+relf+acqf                 2       .04	               2       .04	          2       .04
S+rels+acq                  3       .04	               3       .04	          3       .04
S+rels+acqf                 3       .04	               3       .04	          3       .04
szymanski                   6       .08	               6       .12	          6       .11
TLS1                        4       .04	               4       .04	          4       .04
TLS2                        1       .04	               1       .04	          1       .04
TLS3                        2       .04	               2       .04	          2       .04
treiber-stack              22       .05	               0       .05	          0       .05
wainc/2                     6       .04	               6       .04	          6       .04
wainc/3                    24       .04	              24       .04	         24       .04
wainc/4                   120       .04	             120       .05	        120       .05
wb1                         0       .04	               0       .04	          0       .04
wb2                         1       .05	               1       .04	          1       .04
wb3                         1       .04	               1       .04	          1       .04
wb4                         1       .04	               1       .04	          1       .04
wb5                         1       .04	               1       .04	          1       .04
wb-fp                       0       .05	               0       .05	          0       .05
wcas/2                      5       .05	               5       .04	          5       .04
wcas/3                     13       .04	              13       .04	         13       .04
wcas/4                     33       .04	              33       .04	         33       .04
wcas/5                     81       .04	              81       .04	         81       .05
wcas/6                    193       .05	             193       .05	        193       .05
wcas/7                    449       .05	             449       .05	        449       .06
wcas/8                   1025       .06	            1025       .07	       1025       .06
wcas/9                   2305       .08	            2305       .10	       2305       .10
wcii                       24       .04	              24       .04	         24       .04
W+JW                        1       .04	               1       .04	          1       .04
wrc11_fp                    3       .04	               3       .04	          3       .04
W+RRR+W                    13       .04	              13       .04	         13       .04
wrw/2                       8       .04	               8       .04	          8       .04
wrw/3                      50       .04	              50       .04	         50       .04
wrw/4                     432       .05	             432       .05	        432       .05
W+RWC                       7       .04	               7       .04	          7       .04
WWmerge1                   18       .04	              18       .04	         18       .04
WWmerge2                    8       .04	               8       .04	          8       .04
WWR+2WR                     0       .04	               0       .04	          0       .04
Z6.U                       14       .04	              14       .04	         14       .04
% Table1-benchmarks
readers/5                  32       .03               32       .04               32       .04
readers/10               1024       .12             1024       .17             1024       .17
readers/15              32768      3.17            32768      5.22            32768      5.37
% Table2-benchmarks
peterson/10               306       .05              306       .06              306       .06
peterson/20              1006       .09             1006       .17             1006       .17
peterson/30              2106       .18             2106       .41             2106       .41
parker/3                  898       .07              898       .11              898       .11
parker/4                 2141       .09             2141       .19	       2141       .19
parker/5                 4369       .19             4369       .37	       4369       .36
szymanski/1               201       .08              201       .10	        201       .10
szymanski/2            258981     78.05           258981    132.57	     258981    126.95
lamport/2                  13       .05               13       .05	         13       .05
lamport/3               10511      1.21            10511      2.43	      10511      2.33
% Table5-benchmarks
linuxrwlocks            38033      4.87            38033      8.98	      38033      8.69
linuxrwlocks-bnd         7334      0.47             7334      0.76	       7334       .74
mpmc-queue               2768      0.38             2768      0.69	       2768       .64
mpmc-queue-bnd          15752      1.84            15752      3.76	      15752      3.58
